originals	tokenized	transliterated
kikŏba	k i k ŏ b a	k i k ɔ b a
èfoè	è f o è	ɛ f ɔ ɛ
èhoenè	è h oe n è	ɛ h u n ɛ
konīnī	k o n ī n ī	k ɔ n iː n iː
kija'kki?	k i j a ' k k i ?	k i j a ʔ k k i ?
pāfĕĕ	p ā f ĕĕ	p aː f əː
èhèkoe	è h è k oe	ɛ h ɛ k u
nèneg	n è n e g	n ɛ n e g
èdoboe naafoeaka(k) (tjoetjoe)	è d o b oe + n aa f oe a k a (k) + ( tj oe tj oe )	ɛ d ɔ b u + n aː f u a k a ʔ + ( t͡ʃ u t͡ʃ u )
kakèbara	k a k è b a r a	k a k ɛ b a r a
kakèlabaĕ	k a k è l a b a ĕ	k a k ɛ l a b a ə
ama	a m a	a m a
naè	n a è	n a ɛ
adōhè	a d ō h è	a d oː h ɛ
poefoea(k)	p oe f oe a (k)	p u f u a ʔ
pakamai	p a k a m a i	p a k a m a i
fakamai	f a k a m a i	f a k a m a i
kaoekaoe	k a oe k a oe	k a u k a u
fedjie kiēēbārā	f e dj ie + k iēē b ā r ā	f e d͡ʒ i + k i eː b aː r aː
fedjie kikoedŏtiĕ	f e dj ie + k i k oe d ŏ t i ĕ	f e d͡ʒ i + k i k u d ɔ t i ə
è oenèkè	è + oe n è k è	ɛ + u n ɛ k ɛ
kidĕdieĕ	k i d ĕ d ie ĕ	k i d ə d i ə
èŏnŏnie	è ŏ n ŏ n ie	ɛ ɔ n ɔ n i
èoenèkè	è oe n è k è	ɛ u n ɛ k ɛ
oraj	o r a j	ɔ r a j
kioedŏ	k i oe d ŏ	k i u d ɔ
pĕkak	p ĕ k a k	p ə k a k
enoho(k)	e n o h o (k)	e n ɔ h ɔ ʔ
kanīkīn	k a n ī k ī n	k a n iː k iː n
kārăhā(k)	k ā r ă h ā (k)	k aː r ᾰ h aː ʔ
èhoroe	è h o r oe	ɛ h ɔ r u
èjobĕ	è j o b ĕ	ɛ j ɔ b ə
èpāha	è p ā h a	ɛ p aː h a
èpīdjoe	è p ī dj oe	ɛ p iː d͡ʒ u
ènŏnŏ?	è n ŏ n ŏ ?	ɛ n ɔ n ɔ ?
èanèk	è a n è k	ɛ a n ɛ k
kabŏ	k a b ŏ	k a b ɔ
foekĕ foekĕ	f oe k ĕ + f oe k ĕ	f u k ə + f u k ə
koema(k)au	k oe m a (k) a u	k u m a ʔ a u
karăpīpī	k a r ă p ī p ī	k a r ᾰ p iː p iː
èoefoe(k)ĕ	è oe f oe (k) ĕ	ɛ u f u ʔ ə
ĕfīfī	ĕ f ī f ī	ə f iː f iː
èkāhā	è k ā h ā	ɛ k aː h aː
paroeoekā	p a r oe oe k ā	p a r u u k aː
èkaihonŏa	è k a i h o n ŏ a	ɛ k a i ç ɔ n ɔ a
làfoe(k)	l à f oe (k)	l a f u ʔ
mananiloe	m a n a n i l oe	m a n a n i l u
èaniloe	è a n i l oe	ɛ a n i l u
koetjiŏ	k oe tj i ŏ	k u t͡ʃ i ɔ
karŏkŏ	k a r ŏ k ŏ	k a r ɔ k ɔ
kapoehĕ	k a p oe h ĕ	k a p u h ə
èloe(k)	è l oe (k)	ɛ l u ʔ
bèhŏa	b è h ŏ a	b ɛ h ɔ a
hiŏbā	h i ŏ b ā	h i ɔ b aː
bèlŏā	b è l ŏ ā	b ɛ l ɔ aː
èakĕfidja	è a k ĕ f i dj a	ɛ a k ə f i d͡ʒ a
igigja?	i g i g j a ?	i g i g j a ?
èafa(k)	è a f a (k)	ɛ a f a ʔ
fanakonĕ	f a n a k o n ĕ	f a n a k ɔ n ə
aea ka baikoā	a e a + k a + b a i k o ā	a e a + k a + b a i k ɔ aː
hŏmanika	h ŏ m a n i k a	h ɔ m a n i k a
lapawanihŏ	l a p a w a n i h ŏ	l a p a w a n i ç ɔ
baidji ninie	b a i dj i + n i n ie	b a i d͡ʒ i + n i n i
akoeloepo(k)	a k oe l oe p o (k)	a k u l u p ɔ ʔ
afapo(k)	a f a p o (k)	a f a p ɔ ʔ
boedàjak	b oe d à j a k	b u d a j a k
lafamanoe manoe	l a f a m a n oe + m a n oe	l a f a m a n u + m a n u
parohajo	p a r o h a j o	p a r ɔ h a j ɔ
apoi	a p o i	a p ɔ i
lapamahoema	l a p a m a h oe m a	l a p a m a h u m a
lapabaheibā	l a p a b a h e i b ā	l a p a b a h e i b aː
kakanokowā	k a k a n o k o w ā	k a k a n ɔ k ɔ w aː
koahjĕ kafŏ	k o a h j ĕ + k a f ŏ	k ɔ a h j ə + k a f ɔ
kahainoafè	k a h a i n o a f è	k a h a i n ɔ a f ɛ
kikiāfè	k i k i ā f è	k i k i aː f ɛ
karoiĕ	k a r o i ĕ	k a r ɔ i ə
dididiki(k)	d i d i d i k i (k)	d i d i d i k i ʔ
hèoapo	h è o a p o	h ɛ ɔ a p ɔ
pana	p a n a	p a n a
panakonĕ	p a n a k o n ĕ	p a n a k ɔ n ə
